ISO_in	Population (LP)	Internet Population (IPop)	Economy (PPPGDP)	Internet addresses (IPv4)
False	0.42	0.50	0.57	0.82
True	0.42	0.30	0.29	0.09
CHN	0.16	0.20	0.14	0.09
